Stastic_use_course_num = ,1335,,,,,,,,,@
Course Code,Course Name,Course Credits,Prerequisite(s),Exclusion(s),Corequisite(s),Co-list with,Mode of Delivery,Previous Course Code(s),Alternate code(s),@
PHYS 3040,Introduction to Materials Science,3 Credit(s),,,,,,,,An integrated study of the nature and behavior of metals@ ceramics and polymers.  Topics include crystal structures@ phase diagrams@ microstructures and microscopy@ defects@ phases and interfaces in materials systems@ phase transformations@ deformation@ annealing and failure of materials.,@
PHYS 3041,Introduction to Materials Processing,3 Credit(s),,,PHYS 3040,,,,,Phase transitions and phase diagrams@ crystal growth@ vacuum physics and technology@ thin film preparation by physical vapor deposition@ sputtering and sol-gel.  Chemical processing such as chemical vapor deposition@ oxidation@ wet and plasma etching.  Lithography and patterning techniques.,@
PHYS 3042,Structure and Properties of Crystalline Solids,3 Credit(s),PHYS 2022,,,,,,,This course covers material structures and physical properties. Topics include the periodic structure of crystals with basic crystallography@ symmetry operations and crystalline structures@ diffraction and microscopy techniques to determine Bravais lattices and crystal structures@ the imperfections in solid materials and their roles in physical properties@ physical and mechanical behavior of solid materials based on different bonding types and common defects@ the fundamental concepts of mechanical@ electrical@ optical and magnetic properties and nanomaterials including nanotubes@ nanowires@ graphene@ and 2D semiconductors.,@
PHYS 3053,Honors Electricity and Magnetism I,4 Credit(s),PHYS 1114 (Grade B- or above) OR PHYS 1314,PHYS 3033,,PHYS 3033,,,,This course is a more in-depth version of PHYS 3033. Key topics include: (i) Electrostatics: electric charge and fields@ Coulomb#s law@ Gauss# Law@ multipoles@ Laplace equation; (ii) Magnetostatics: currents@ magnetic fields and vector potential@ Biot-Savart Law@ Faraday#s law@ magnetic materials; (iii) Maxwell#s equations; and (iv) Interaction of electromagnetic fields with matter@ polarization and magnetization@ bound charges and bound currents@ relative permittivity and permeability@ ferromagnets.,@
PHYS 3060,Physics Internship,3 Credit(s),PHYS 3152 OR PHYS 3153,,,,,,,This course provides students with an opportunity to gain work experience in physics. Students will undertake internships in companies/organizations. For PHYS students with instructor#s approval only. Graded P or F.,@
PHYS 3071,Introduction to Stellar Astrophysics,3 Credit(s),PHYS 2022,,,,,,,Stellar radiation@ stellar spectrum@ binary stars@ interiors of stars@ star formation@ post-main-sequence stellar evolution@ stellar remnants.,@
PHYS 3090,Directed Studies in Physics II,1 Credit(s),CGA at 2.70 or above,,,,,,,This course covers special topics selected by the instructor on the basis of individual student#s request.  For students in their third year of study under the four-year degree only. The instructor#s approval is required for taking this course. May be repeated for credits.,@
PHYS 3142,Computational Methods in Physics,3 Credit(s),(COMP 1021 OR COMP 1029P) AND (MATH 2352 OR PHYS 2124),MATH 3312,,,,,,This course provides an introduction to basic numerical and symbolic computation. Topics include methods of interpolation and extrapolation@ approximation methods of root finding@ numerical integration and solving ordinary differential equations@ symbolic algebra and calculus. Students need to write computer codes in laboratory sessions and write lab reports to describe their results.,@
PHYS 3152,Methods of Experimental Physics I,3 Credit(s),(PHYS 1114 OR PHYS 1314) AND PHYS 2023,,,,,,,This course will cover the techniques of experimental physics in the area of electronics. Students will complete experiments involving ac circuits and input/output impedance@ diodes and transistors@ operational amplifiers@ frequency analysis and digital electronics.,@
PHYS 3153,Methods of Experimental Physics II,3 Credit(s),(PHYS 1114 OR PHYS 1314) AND PHYS 2023,,,,,,,This course will cover the techniques of experimental physics in the area of optics. Students will complete experiments involving basic optical systems@ interferometry@ waveguides and optical fibers@ optical spectroscopy@ semiconductor laser diodes@ microwave reflection@ scattering and diffraction.,@
PHYS 4050,Thermodynamics and Statistical Physics,3 Credit(s),PHYS 2022,,,,,,,Laws of thermodynamics@ entropy@ thermodynamic relations@ free energy; elementary statistical mechanics: Maxwell-Boltzmann@ Bose-Einstein and Fermi-Dirac statistics; elementary transport theory; applications to physical systems.,@
PHYS 4051,Quantum Mechanics II,3 Credit(s),PHYS 3031/MATH 4052@ AND PHYS 3036/PHYS 3037,,,,,,,This course is mainly on approximation methods in quantum mechanics. Topics include stationary state perturbation theory@ variational principle@ WKB method@ time-dependent perturbation theory@ emission and absorption of radiation@ adiabatic approximation and geometric phase@ scattering theory.,@
PHYS 4052,Introductory Solid State Physics,3 Credit(s),PHYS 3036 OR PHYS 3037,,,,,,,An introduction to modern solid state physics@ including lattice structure@ lattice vibrations@ thermal properties@ electron theory of metals and semiconductors@ magnetic properties@ and superconductivity.,@
PHYS 4053,Lasers and Optical Electronics,3 Credit(s),,,,,,,,Propagation of Gaussian beams@ optical cavity and cavity modes@ blackbody radiation and stimulated emission@ laser principles and rate equations@ examples of solid state@ liquid@ gas and semiconductor lasers@ laser Q-switching and mode-locking@ detection of optical radiation.,@
PHYS 4055,Particle Physics and the Universe,3 Credit(s),PHYS 3036 OR PHYS 3037,,,,[BLD] Blended learning,,,In this course@ a systematic introduction to particle physics will be provided@ with the topics mainly covering: the tool of Feynman diagrams@ the Standard Model in particle physics (the zoo of fundamental particles@ electroweak unified theory@ and Higgs mechanism)@ particle physics at colliders (particularly at the Large Hadron Collider)@ and the interplay between particle physics and cosmology. It aims at enabling students to catch up the progress in particle physics in a timely way@ and appreciate the beauty of fundamental rules in nature.,@
PHYS 4058,Information Physics,3 Credit(s),PHYS 3031 OR PHYS 4050,,,,,,,Probability theory@ entropy in information theory@ relative entropy and mutual information@ Second Law of thermodynamics@ instantaneous code and block code@ data compression: Huffman code@ portfolio management.  Introduction to Mathematical Finance: Options and Binomial Tree.,@
PHYS 4059,Physics of Management Science,3 Credit(s),,IEDA 3010@ ISOM 3710,,,,,,This course will introduce the concepts and techniques of optimization and modeling in the management of systems and business applications with many variables and constraints.  We will discuss linear programming@ network flow models@ project management@ nonlinear programming@ queuing analysis@ computer solutions@ and the statistical physics of optimization in complex systems.,@
